tran_ratio_count_1D_90D,tran_ratio_count_1D_180D,tran_ratio_amount_10min_1D,tran_ratio_amount_1D_30D,tran_ratio_amount_1D_90D,tran_ratio_amount_1D_180D,isoddhr,Tran_avarage_amount_ratio,Label,transaction_id
0.03791,0.03791,0.09373,0.07911,0.02828,0.02828,1,0.59664,0,211
0.0283,0.0283,0.16133,0.04457,0.016,0.016,1,0.5827,0,212
0.02347,0.02347,0.09994,0.03726,0.01341,0.01341,1,0.30292,0,213
0.01402,0.01402,0.49514,0.02134,0.00773,0.00773,1,0.86855,0,214
0.0186,0.0186,0.10924,0.02389,0.00867,0.00867,1,0.21513,0,215
0.00463,0.00463,1.0,0.00295,0.00102,0.00102,1,0.23219,0,216
0.00922,0.00922,0.77217,0.01284,0.00447,0.00447,0,0.78697,0,217
0.01376,0.01376,0.6741,0.03837,0.01359,0.01359,1,2.10807,0,218
0.01826,0.01826,0.29906,0.05386,0.01927,0.01927,1,1.33424,0,219
0.01818,0.01818,0.07501,0.05544,0.01972,0.01972,1,0.34294,0,220
0.02262,0.02262,0.17982,0.06208,0.02218,0.02218,1,0.58433,0,221
0.02703,0.02703,0.12896,0.07062,0.02538,0.02538,1,0.76344,0,222
0.02691,0.02691,0.13594,0.07019,0.02538,0.02538,0,0.80756,0,223
0.02232,0.02232,0.26231,0.04018,0.01442,0.01442,1,0.88834,0,224
0.02667,0.02667,0.06861,0.04363,0.01546,0.01546,1,0.24947,0,225
0.00885,0.00885,0.85393,0.0208,0.00722,0.00722,1,1.45838,1,226
0.01322,0.01322,0.48488,0.0396,0.01392,0.01392,1,1.60762,0,227
0.01316,0.01316,0.10133,0.0411,0.0143,0.0143,1,0.34572,0,228
0.01747,0.01747,0.20672,0.05126,0.01796,0.01796,1,0.88907,0,229
0.01304,0.01304,0.32039,0.02151,0.00757,0.00757,1,0.58212,0,230
0.00866,0.00866,0.69169,0.02279,0.00782,0.00782,1,1.30596,0,231
0.01293,0.01293,0.13557,0.02696,0.00904,0.00904,1,0.29612,0,232
0.01717,0.01717,0.35511,0.0412,0.01395,0.01395,1,1.20273,0,233
0.02137,0.02137,0.28569,0.05674,0.01942,0.01942,1,1.35458,0,234
0.00426,0.00426,1.0,0.01741,0.00543,0.00543,1,1.33278,0,235
0.00847,0.00847,0.46321,0.03196,0.01006,0.01006,1,1.15011,0,236
0.01266,0.01266,0.42604,0.05454,0.01741,0.01741,1,1.84298,0,237
0.01681,0.01681,0.44653,0.05644,0.01804,0.01804,1,0.16017,0,238
0.00418,0.00418,1.0,0.02072,0.00614,0.00614,0,1.53763,0,239
0.00833,0.00833,0.16461,0.0247,0.00735,0.00735,0,0.30299,0,240
0.01245,0.01245,0.25567,0.03341,0.00985,0.00985,1,0.63223,0,241
0.01653,0.01653,0.20373,0.04161,0.01233,0.01233,1,0.63268,0,242
0.00412,0.00412,1.0,0.02021,0.00604,0.00604,0,1.5293,0,243
0.0082,0.0082,0.28616,0.02808,0.00844,0.00844,1,0.61307,0,244
0.01224,0.01224,0.1159,0.03268,0.00953,0.00953,1,0.28084,0,245
0.01626,0.01626,0.26306,0.04383,0.01289,0.01289,1,0.86501,0,246
0.02024,0.02024,0.37952,0.05163,0.01527,0.01527,1,0.61717,0,247
0.01613,0.01613,0.60329,0.05674,0.0172,0.0172,1,2.68104,0,248
0.02008,0.02008,0.22884,0.07236,0.02219,0.02219,1,1.31873,0,249
0.024,0.024,0.1937,0.08939,0.02737,0.02737,1,1.38441,0,250
0.02789,0.02789,0.10282,0.09894,0.03042,0.03042,1,0.81908,0,251
0.02778,0.02778,0.15843,0.11388,0.03468,0.03468,1,1.44681,0,252
0.02767,0.02767,0.1219,0.11575,0.0356,0.0356,1,1.14772,0,253
0.02756,0.02756,0.03257,0.1114,0.03434,0.03434,1,0.29622,0,254
0.02745,0.02745,0.03791,0.0828,0.02515,0.02515,1,0.25268,0,255
0.02734,0.02734,0.25914,0.08761,0.02704,0.02704,1,1.87029,0,256
0.02335,0.02335,0.05609,0.06567,0.01988,0.01988,1,0.29794,0,257
0.00778,0.00775,0.3708,0.00586,0.00178,0.00177,1,0.17558,0,258
0.00775,0.00772,0.64321,0.00607,0.00185,0.00184,1,0.31653,0,259
0.01163,0.01154,0.77953,0.02694,0.00842,0.00828,1,1.74003,0,260
0.01544,0.01533,0.10012,0.02984,0.00935,0.0092,1,0.24836,0,261
0.01923,0.01908,0.11722,0.03367,0.01057,0.01041,1,0.32939,0,262
0.02308,0.02281,0.27181,0.04634,0.01452,0.01423,1,1.04884,0,263
0.01538,0.01515,0.39377,0.03182,0.01009,0.00986,1,1.05652,0,264
0.01916,0.01887,0.09901,0.03519,0.01119,0.01093,1,0.29483,0,265
0.01154,0.01128,0.22077,0.02161,0.00655,0.00636,1,0.38287,0,266
0.01149,0.01124,0.62108,0.02232,0.00672,0.00653,1,1.11081,0,267
0.01533,0.01493,0.35087,0.03397,0.01033,0.01002,1,0.96671,0,268
0.01533,0.01487,0.33611,0.04577,0.01405,0.01342,1,1.24562,0,269
0.01908,0.01852,0.14388,0.05306,0.01637,0.01564,1,0.62285,0,270
0.01154,0.01107,0.12501,0.02609,0.00814,0.00771,0,0.26694,0,271
0.01154,0.01103,0.19934,0.01377,0.00428,0.00401,1,0.22153,0,272
0.01533,0.01465,0.60993,0.02787,0.00874,0.00819,1,1.16978,0,273
0.01527,0.0146,0.13962,0.02347,0.00738,0.00692,1,0.26909,0,274
0.01908,0.01818,0.25243,0.03115,0.00988,0.00923,1,0.65079,0,275
0.0229,0.02174,0.17679,0.03965,0.01199,0.01119,0,0.55366,0,276
0.02662,0.02527,0.2918,0.04579,0.01391,0.01298,0,0.50862,0,277
0.01538,0.01439,0.52577,0.04575,0.01386,0.0128,1,1.89926,0,278
0.01538,0.01434,0.20548,0.04737,0.0143,0.01317,1,0.7659,0,279
0.01158,0.01071,0.39433,0.05472,0.01687,0.01545,1,1.73518,0,280
0.01538,0.01423,0.54265,0.0712,0.02222,0.02036,1,1.42711,0,281
0.01533,0.01418,0.20427,0.0601,0.01875,0.01719,1,1.00841,0,282
0.01533,0.01413,0.05853,0.05586,0.01687,0.01541,1,0.25929,0,283
0.01908,0.01761,0.1318,0.0638,0.01939,0.01771,1,0.6725,0,284
0.02281,0.02105,0.11679,0.0744,0.02189,0.02,1,0.67472,0,285
0.01515,0.01399,0.12998,0.02404,0.00699,0.00639,0,0.24002,0,286
0.00758,0.00697,0.8017,0.01556,0.00458,0.00417,1,0.97037,0,287
0.00755,0.00694,0.41413,0.0212,0.00626,0.0057,1,0.68592,0,288
0.01128,0.01038,0.30286,0.03014,0.00895,0.00815,1,0.71954,0,289
0.01498,0.01379,0.24757,0.03966,0.01186,0.0108,1,0.78171,0,290
0.01493,0.01375,0.17204,0.03365,0.00991,0.00903,1,0.45448,0,291
0.01493,0.0137,0.34306,0.03744,0.01118,0.01014,1,1.02132,0,292
